"","age","rater","video","stimulus","sex","trial","corr"
"92","M48",1,"M48_S06_m_NI","Nothing","m",2,1
"93","M72",1,"M72_S02_m_NI","Nothing","m",1,1
"94","M72",1,"M72_S09_m_NI","Nothing","m",2,1
"95","M72",1,"M72_S12_m_NI","Nothing","m",3,0
"96","M72",1,"M72_S04_m_NI","Nothing","m",4,1
"97","M72",1,"M72_S08_m_NI","Nothing","m",5,0
"98","M48",2,"M48_S06_m_KA","Comb","m",1,1
"99","M48",2,"M48_S01_m_KA","Comb","m",2,0
"100","M48",2,"M48_S15_m_KA","Comb","m",3,1
"101","M48",2,"M48_S05_m_KA","Comb","m",4,1
"102","M72",2,"M72_S11_f_KA","Comb","f",1,1
"103","M72",2,"M72_S05_f_KA","Comb","f",2,1
"104","M72",2,"M72_S06_f_KA","Comb","f",3,0
"105","M72",2,"M72_S03_f_KA","Comb","f",4,1
"106","M72",2,"M72_S07_f_KA","Comb","f",5,0
"107","M72",2,"M72_S10_f_KA","Comb","f",6,1
"108","M72",2,"M72_S09_m_KA","Comb","m",1,1
"109","M72",2,"M72_S02_m_KA","Comb","m",2,1
"110","M72",2,"M72_S12_m_KA","Comb","m",3,0
"111","M72",2,"M72_S08_m_KA","Comb","m",4,1
"112","M72",2,"M72_S04_m_KA","Comb","m",5,0
"113","M48",2,"M48_S13_f_KA","Comb","f",1,1
"114","M48",2,"M48_S07_f_KA","Comb","f",2,1
"115","M48",2,"M48_S10_f_KA","Comb","f",3,1
"116","M48",2,"M48_S02_f_KA","Comb","f",4,1
"117","M48",2,"M48_S06_m_GA","Fork","m",1,1
"118","M48",2,"M48_S15_m_GA","Fork","m",2,1
"119","M48",2,"M48_S01_m_GA","Fork","m",3,0
"120","M48",2,"M48_S05_m_GA","Fork","m",4,0
"121","M48",2,"M48_S07_f_GA","Fork","f",1,1
"122","M48",2,"M48_S13_f_GA","Fork","f",2,1
"123","M48",2,"M48_S02_f_GA","Fork","f",3,1
"124","M48",2,"M48_S08_f_GA","Fork","f",4,0
"125","M48",2,"M48_S10_f_GA","Fork","f",5,0
"126","M72",2,"M72_S08_m_GA","Fork","m",1,1
"127","M72",2,"M72_S02_m_GA","Fork","m",2,0
"128","M72",2,"M72_S04_m_GA","Fork","m",3,1
"129","M72",2,"M72_S09_m_GA","Fork","m",4,1
"130","M72",2,"M72_S12_m_GA","Fork","m",5,1
"131","M72",2,"M72_S07_f_GA","Fork","f",1,1
"132","M72",2,"M72_S05_f_GA","Fork","f",2,1
"133","M72",2,"M72_S10_f_GA","Fork","f",3,1
"134","M72",2,"M72_S06_f_GA","Fork","f",4,0
"135","M72",2,"M72_S11_f_GA","Fork","f",5,1
"136","M72",2,"M72_S03_f_GA","Fork","f",6,1
"137","M48",2,"M48_S13_f_FA","Bike","f",1,1
"138","M48",2,"M48_S02_f_FA","Bike","f",2,1
"139","M48",2,"M48_S08_f_FA","Bike","f",3,0
"140","M48",2,"M48_S07_f_FA","Bike","f",4,1
"141","M48",2,"M48_S10_f_FA","Bike","f",5,1
"142","M72",2,"M72_S02_m_FA","Bike","m",1,1
"143","M72",2,"M72_S08_m_FA","Bike","m",2,0
"144","M72",2,"M72_S09_m_FA","Bike","m",3,1
"145","M72",2,"M72_S04_m_FA","Bike","m",4,1
"146","M72",2,"M72_S12_m_FA","Bike","m",5,1
"147","M48",2,"M48_S15_m_FA","Bike","m",1,0
"148","M48",2,"M48_S06_m_FA","Bike","m",2,1
"149","M48",2,"M48_S01_m_FA","Bike","m",3,1
"150","M48",2,"M48_S05_m_FA","Bike","m",4,0
"151","M72",2,"M72_S03_f_FA","Bike","f",1,1
"152","M72",2,"M72_S07_f_FA","Bike","f",2,0
"153","M72",2,"M72_S05_f_FA","Bike","f",3,1
"154","M72",2,"M72_S10_f_FA","Bike","f",4,1
"155","M72",2,"M72_S06_f_FA","Bike","f",5,0
"156","M72",2,"M72_S11_f_FA","Bike","f",6,1
"157","M48",2,"M48_S05_m_HA","Hammer","m",1,1
"158","M48",2,"M48_S06_m_HA","Hammer","m",2,1
"159","M48",2,"M48_S04_m_HA","Hammer","m",3,0
"160","M48",2,"M48_S15_m_HA","Hammer","m",4,1
"161","M48",2,"M48_S01_m_HA","Hammer","m",5,1
"162","M48",2,"M48_S07_f_HA","Hammer","f",1,1
"163","M48",2,"M48_S08_f_HA","Hammer","f",2,0
"164","M48",2,"M48_S02_f_HA","Hammer","f",3,1
"165","M48",2,"M48_S13_f_HA","Hammer","f",4,1
"166","M48",2,"M48_S10_f_HA","Hammer","f",5,0
"167","M72",2,"M72_S11_f_HA","Hammer","f",1,1
"168","M72",2,"M72_S05_f_HA","Hammer","f",2,1
"169","M72",2,"M72_S06_f_HA","Hammer","f",3,0
"170","M72",2,"M72_S10_f_HA","Hammer","f",4,1
"171","M72",2,"M72_S07_f_HA","Hammer","f",5,1
"172","M72",2,"M72_S03_f_HA","Hammer","f",6,1
"173","M72",2,"M72_S08_m_HA","Hammer","m",1,1
"174","M72",2,"M72_S04_m_HA","Hammer","m",2,1
"175","M72",2,"M72_S02_m_HA","Hammer","m",3,1
"176","M72",2,"M72_S09_m_HA","Hammer","m",4,1
"177","M72",2,"M72_S12_m_HA","Hammer","m",5,0
"178","M72",2,"M72_S02_m_NI","Nothing","m",1,1
"179","M72",2,"M72_S12_m_NI","Nothing","m",2,0
"180","M72",2,"M72_S09_m_NI","Nothing","m",3,1
"181","M72",2,"M72_S08_m_NI","Nothing","m",4,1
"182","M72",2,"M72_S04_m_NI","Nothing","m",5,1
"183","M72",2,"M72_S06_f_NI","Nothing","f",1,0
"184","M72",2,"M72_S11_f_NI","Nothing","f",2,1
"185","M72",2,"M72_S05_f_NI","Nothing","f",3,1
"186","M72",2,"M72_S07_f_NI","Nothing","f",4,1
"187","M72",2,"M72_S03_f_NI","Nothing","f",5,1
"188","M72",2,"M72_S10_f_NI","Nothing","f",6,1
"189","M48",2,"M48_S15_m_NI","Nothing","m",1,0
"190","M48",2,"M48_S06_m_NI","Nothing","m",2,1
"191","M48",2,"M48_S02_f_NI","Nothing","f",1,0
"192","M48",2,"M48_S13_f_NI","Nothing","f",2,0
"193","M48",2,"M48_S07_f_NI","Nothing","f",3,1
"194","M48",2,"M48_S08_f_NI","Nothing","f",4,0
"195","M72",3,"M72_S02_m_FA","Bike","m",1,1
"196","M72",3,"M72_S08_m_FA","Bike","m",2,1
"197","M72",3,"M72_S09_m_FA","Bike","m",3,1
"198","M72",3,"M72_S04_m_FA","Bike","m",4,1
"199","M72",3,"M72_S12_m_FA","Bike","m",5,1
"200","M72",3,"M72_S11_f_FA","Bike","f",1,1
"201","M72",3,"M72_S06_f_FA","Bike","f",2,1
"202","M72",3,"M72_S10_f_FA","Bike","f",3,1
"203","M72",3,"M72_S03_f_FA","Bike","f",4,1
"204","M72",3,"M72_S07_f_FA","Bike","f",5,0
"205","M72",3,"M72_S05_f_FA","Bike","f",6,1
"206","M48",3,"M48_S15_m_FA","Bike","m",1,1
"207","M48",3,"M48_S06_m_FA","Bike","m",2,1
"208","M48",3,"M48_S01_m_FA","Bike","m",3,1
"209","M48",3,"M48_S05_m_FA","Bike","m",4,0
"210","M48",3,"M48_S08_f_FA","Bike","f",1,0
"211","M48",3,"M48_S10_f_FA","Bike","f",2,0
"212","M48",3,"M48_S07_f_FA","Bike","f",3,1
"213","M48",3,"M48_S02_f_FA","Bike","f",4,1
"214","M48",3,"M48_S13_f_FA","Bike","f",5,1
"215","M48",3,"M48_S13_f_HA","Hammer","f",1,1
"216","M48",3,"M48_S10_f_HA","Hammer","f",2,1
"217","M48",3,"M48_S08_f_HA","Hammer","f",3,1
"218","M48",3,"M48_S02_f_HA","Hammer","f",4,1
"219","M48",3,"M48_S07_f_HA","Hammer","f",5,0
"220","M72",3,"M72_S04_m_HA","Hammer","m",1,1
"221","M72",3,"M72_S12_m_HA","Hammer","m",2,0
"222","M72",3,"M72_S02_m_HA","Hammer","m",3,1
"223","M72",3,"M72_S08_m_HA","Hammer","m",4,1
"224","M72",3,"M72_S09_m_HA","Hammer","m",5,0
"225","M72",3,"M72_S11_f_HA","Hammer","f",1,0
"226","M72",3,"M72_S07_f_HA","Hammer","f",2,1
"227","M72",3,"M72_S10_f_HA","Hammer","f",3,0
"228","M72",3,"M72_S06_f_HA","Hammer","f",4,0
"229","M72",3,"M72_S03_f_HA","Hammer","f",5,0
"230","M72",3,"M72_S05_f_HA","Hammer","f",6,1
"231","M48",3,"M48_S06_m_HA","Hammer","m",1,1
"232","M48",3,"M48_S05_m_HA","Hammer","m",2,1
"233","M48",3,"M48_S04_m_HA","Hammer","m",3,0
"234","M48",3,"M48_S01_m_HA","Hammer","m",4,1
"235","M48",3,"M48_S15_m_HA","Hammer","m",5,1
"236","M48",3,"M48_S13_f_GA","Fork","f",1,1
"237","M48",3,"M48_S07_f_GA","Fork","f",2,1
"238","M48",3,"M48_S08_f_GA","Fork","f",3,0
"239","M48",3,"M48_S10_f_GA","Fork","f",4,1
"240","M48",3,"M48_S02_f_GA","Fork","f",5,0
"241","M72",3,"M72_S09_m_GA","Fork","m",1,1
"242","M72",3,"M72_S12_m_GA","Fork","m",2,1
"243","M72",3,"M72_S02_m_GA","Fork","m",3,1
"244","M72",3,"M72_S04_m_GA","Fork","m",4,1
"245","M72",3,"M72_S08_m_GA","Fork","m",5,1
"246","M72",3,"M72_S06_f_GA","Fork","f",1,1
"247","M72",3,"M72_S10_f_GA","Fork","f",2,1
"248","M72",3,"M72_S05_f_GA","Fork","f",3,0
"249","M72",3,"M72_S03_f_GA","Fork","f",4,1
"250","M72",3,"M72_S11_f_GA","Fork","f",5,0
"251","M72",3,"M72_S07_f_GA","Fork","f",6,1
"252","M48",3,"M48_S01_m_GA","Fork","m",1,0
"253","M48",3,"M48_S06_m_GA","Fork","m",2,0
"254","M48",3,"M48_S15_m_GA","Fork","m",3,1
"255","M48",3,"M48_S05_m_GA","Fork","m",4,1
"256","M72",3,"M72_S02_m_KA","Comb","m",1,1
"257","M72",3,"M72_S09_m_KA","Comb","m",2,1
"258","M72",3,"M72_S04_m_KA","Comb","m",3,0
"259","M72",3,"M72_S12_m_KA","Comb","m",4,0
"260","M72",3,"M72_S08_m_KA","Comb","m",5,1
"261","M48",3,"M48_S02_f_KA","Comb","f",1,1
"262","M48",3,"M48_S13_f_KA","Comb","f",2,0
"263","M48",3,"M48_S10_f_KA","Comb","f",3,0
"264","M48",3,"M48_S07_f_KA","Comb","f",4,1
"265","M48",3,"M48_S05_m_KA","Comb","m",1,1
"266","M48",3,"M48_S15_m_KA","Comb","m",2,1
"267","M48",3,"M48_S01_m_KA","Comb","m",3,1
"268","M48",3,"M48_S06_m_KA","Comb","m",4,0
"269","M72",3,"M72_S03_f_KA","Comb","f",1,1
"270","M72",3,"M72_S10_f_KA","Comb","f",2,1
"271","M72",3,"M72_S06_f_KA","Comb","f",3,0
"272","M72",3,"M72_S07_f_KA","Comb","f",4,1
"273","M72",3,"M72_S05_f_KA","Comb","f",5,1
"274","M72",3,"M72_S11_f_KA","Comb","f",6,0
"275","M72",3,"M72_S12_m_NI","Nothing","m",1,1
"276","M72",3,"M72_S08_m_NI","Nothing","m",2,1
"277","M72",3,"M72_S09_m_NI","Nothing","m",3,1
"278","M72",3,"M72_S02_m_NI","Nothing","m",4,1
"279","M72",3,"M72_S04_m_NI","Nothing","m",5,1
"280","M48",3,"M48_S06_m_NI","Nothing","m",1,1
"281","M48",3,"M48_S15_m_NI","Nothing","m",2,0
"282","M48",3,"M48_S13_f_NI","Nothing","f",1,0
"283","M48",3,"M48_S07_f_NI","Nothing","f",2,1
"284","M48",3,"M48_S02_f_NI","Nothing","f",3,0
"285","M48",3,"M48_S08_f_NI","Nothing","f",4,0
"286","M72",3,"M72_S05_f_NI","Nothing","f",1,1
"287","M72",3,"M72_S03_f_NI","Nothing","f",2,1
"288","M72",3,"M72_S06_f_NI","Nothing","f",3,1
"289","M72",3,"M72_S07_f_NI","Nothing","f",4,1
"290","M72",3,"M72_S10_f_NI","Nothing","f",5,1
